Epoch    |                 Staked |                Rewards |            Accumulated |        Unstake Rewards |          Unstake Total |      Available Rewards
60       |         103,911,068.73 |              36,411.54 |           1,984,953.96 |                   0.00 |                   0.00 |           1,984,953.96
61       |         103,911,068.73 |              36,336.91 |           2,021,290.86 |                   0.00 |                   0.00 |           2,021,290.86
62       |         103,911,068.73 |              36,379.23 |           2,057,670.09 |                   0.00 |                   0.00 |           2,057,670.09
63       |         103,911,068.73 |              36,338.85 |           2,094,008.94 |                   0.00 |                   0.00 |           2,094,008.94
64       |         103,911,068.73 |              36,262.62 |           2,130,271.55 |                   0.00 |                   0.00 |           2,130,271.55
65       |         103,911,068.73 |              36,204.51 |           2,166,476.06 |                   0.00 |                   0.00 |           2,166,476.06
66       |         103,911,068.73 |              36,983.96 |           2,203,460.03 |                   0.00 |                   0.00 |           2,203,460.03
67       |         103,911,068.73 |              36,606.45 |           2,240,066.47 |                   0.00 |                   0.00 |           2,240,066.47
68       |         103,911,068.73 |              36,955.66 |           2,277,022.13 |                   0.00 |                   0.00 |           2,277,022.13
69       |         108,911,068.73 |              38,594.51 |           2,315,616.64 |                   0.00 |                   0.00 |           2,315,616.64
70       |         108,911,068.73 |              38,371.64 |           2,353,988.27 |                   0.00 |                   0.00 |           2,353,988.27
71       |         108,911,068.73 |              37,936.34 |           2,391,924.62 |                   0.00 |                   0.00 |           2,391,924.62
72       |         108,911,068.73 |              36,756.80 |           2,428,681.42 |                   0.00 |                   0.00 |           2,428,681.42
73       |         108,911,068.73 |              36,803.84 |           2,465,485.26 |                   0.00 |                   0.00 |           2,465,485.26
74       |         108,911,068.73 |              36,668.96 |           2,502,154.23 |                   0.00 |                   0.00 |           2,502,154.23
75       |         108,911,068.73 |              36,645.11 |           2,538,799.33 |                   0.00 |                   0.00 |           2,538,799.33
76       |         108,911,068.73 |              36,715.88 |           2,575,515.21 |                   0.00 |                   0.00 |           2,575,515.21
77       |         108,911,068.73 |              36,617.52 |           2,612,132.73 |                   0.00 |                   0.00 |           2,612,132.73
78       |         108,911,068.73 |              36,532.74 |           2,648,665.47 |                   0.00 |                   0.00 |           2,648,665.47
79       |         108,911,068.73 |              36,526.15 |           2,685,191.62 |                   0.00 |                   0.00 |           2,685,191.62
80       |         108,911,068.73 |              36,400.25 |           2,721,591.87 |                   0.00 |                   0.00 |           2,721,591.87
81       |         108,911,068.73 |              36,340.98 |           2,757,932.85 |                   0.00 |                   0.00 |           2,757,932.85
82       |         108,911,068.73 |              36,467.24 |           2,794,400.08 |                   0.00 |                   0.00 |           2,794,400.08
83       |         108,911,068.73 |              37,415.00 |           2,831,815.09 |                   0.00 |                   0.00 |           2,831,815.09
84       |         108,911,068.73 |              36,353.24 |           2,868,168.33 |                   0.00 |                   0.00 |           2,868,168.33
85       |         108,911,068.73 |              36,662.48 |           2,904,830.81 |                   0.00 |                   0.00 |           2,904,830.81
86       |         108,911,068.73 |              36,817.04 |           2,941,647.85 |                   0.00 |                   0.00 |           2,941,647.85
87       |         108,911,068.73 |              36,787.51 |           2,978,435.36 |                   0.00 |                   0.00 |           2,978,435.36
88       |         108,911,068.73 |              37,033.59 |           3,015,468.95 |                   0.00 |                   0.00 |           3,015,468.95
89       |         113,911,068.73 |              38,322.53 |           3,053,791.48 |                   0.00 |                   0.00 |           3,053,791.48
90       |         113,911,068.73 |              38,290.11 |           3,092,081.59 |                   0.00 |                   0.00 |           3,092,081.59
91       |         113,911,068.73 |              38,402.54 |           3,130,484.14 |                   0.00 |                   0.00 |           3,130,484.14
92       |         113,911,068.73 |              38,906.73 |           3,169,390.87 |                   0.00 |                   0.00 |           3,169,390.87
93       |         113,911,068.73 |              38,678.60 |           3,208,069.47 |                   0.00 |                   0.00 |           3,208,069.47
94       |         113,911,068.73 |              38,246.90 |           3,246,316.37 |                   0.00 |                   0.00 |           3,246,316.37
95       |         113,911,068.73 |              38,169.39 |           3,284,485.76 |                   0.00 |                   0.00 |           3,284,485.76
96       |         113,911,068.73 |              38,212.64 |           3,322,698.40 |                   0.00 |                   0.00 |           3,322,698.40
97       |         113,911,068.73 |              38,192.11 |           3,360,890.50 |                   0.00 |                   0.00 |           3,360,890.50
98       |         113,911,068.73 |              38,176.48 |           3,399,066.98 |                   0.00 |                   0.00 |           3,399,066.98
99       |         113,911,068.73 |              38,102.69 |           3,437,169.68 |                   0.00 |                   0.00 |           3,437,169.68
100      |         113,911,068.73 |              37,686.09 |           3,474,855.77 |                   0.00 |                   0.00 |           3,474,855.77
101      |         116,727,633.58 |              35,599.20 |           3,510,454.96 |                   0.00 |                   0.00 |           3,510,454.96
102      |         116,727,633.58 |              39,609.31 |           3,550,064.27 |                   0.00 |                   0.00 |           3,550,064.27
103      |         116,727,633.58 |              39,755.28 |           3,589,819.55 |                   0.00 |                   0.00 |           3,589,819.55
104      |         116,727,633.58 |              39,739.30 |           3,629,558.85 |                   0.00 |                   0.00 |           3,629,558.85
105      |         116,727,633.58 |              39,962.68 |           3,669,521.52 |                   0.00 |                   0.00 |           3,669,521.52
106      |         116,727,633.58 |              39,721.62 |           3,709,243.14 |                   0.00 |                   0.00 |           3,709,243.14
107      |         116,727,633.58 |              39,670.09 |           3,748,913.23 |                   0.00 |                   0.00 |           3,748,913.23
108      |         116,727,633.58 |              39,532.90 |           3,788,446.13 |                   0.00 |                   0.00 |           3,788,446.13
109      |         116,727,633.58 |              39,556.71 |           3,828,002.83 |                   0.00 |                   0.00 |           3,828,002.83
110      |         116,727,633.58 |              39,505.04 |           3,867,507.87 |                   0.00 |                   0.00 |           3,867,507.87
111      |         116,727,633.58 |              39,511.08 |           3,907,018.95 |                   0.00 |                   0.00 |           3,907,018.95
112      |         116,727,633.58 |              39,545.58 |           3,946,564.53 |                   0.00 |                   0.00 |           3,946,564.53
113      |         116,727,633.58 |              39,516.34 |           3,986,080.87 |                   0.00 |                   0.00 |           3,986,080.87
114      |         116,727,633.58 |              39,502.57 |           4,025,583.45 |                   0.00 |                   0.00 |           4,025,583.45
115      |         116,727,633.58 |              39,675.07 |           4,065,258.52 |                   0.00 |                   0.00 |           4,065,258.52
116      |         122,360,763.30 |              41,336.14 |           4,106,594.67 |                   0.00 |                   0.00 |           4,106,594.67
117      |         122,360,763.30 |              41,443.98 |           4,148,038.65 |                   0.00 |                   0.00 |           4,148,038.65
118      |         122,360,763.30 |              41,394.71 |           4,189,433.36 |                   0.00 |                   0.00 |           4,189,433.36
119      |         122,360,763.30 |              45,034.65 |           4,234,468.01 |                   0.00 |                   0.00 |           4,234,468.01
120      |         122,360,763.30 |              41,444.15 |           4,275,912.16 |                   0.00 |                   0.00 |           4,275,912.16
121      |         122,360,763.30 |              41,418.24 |           4,317,330.39 |                   0.00 |                   0.00 |           4,317,330.39
122      |         122,360,763.30 |              41,424.87 |           4,358,755.26 |                   0.00 |                   0.00 |           4,358,755.26
123      |         122,360,763.30 |              41,356.78 |           4,400,112.04 |                   0.00 |                   0.00 |           4,400,112.04
124      |         122,360,763.30 |              41,524.76 |           4,441,636.81 |                   0.00 |                   0.00 |           4,441,636.81
125      |         122,360,763.30 |              41,367.60 |           4,483,004.41 |                   0.00 |                   0.00 |           4,483,004.41
126      |         122,360,763.30 |              41,432.07 |           4,524,436.47 |                   0.00 |                   0.00 |           4,524,436.47
127      |         122,360,763.30 |              41,254.53 |           4,565,691.01 |                   0.00 |                   0.00 |           4,565,691.01
128      |         122,360,763.30 |              42,610.68 |           4,608,301.69 |                   0.00 |                   0.00 |           4,608,301.69
129      |         122,360,763.30 |              41,825.93 |           4,650,127.62 |                   0.00 |                   0.00 |           4,650,127.62
130      |         122,360,763.30 |              41,890.77 |           4,692,018.39 |                   0.00 |                   0.00 |           4,692,018.39
131      |         122,360,763.30 |              42,591.17 |           4,734,609.56 |                   0.00 |                   0.00 |           4,734,609.56
132      |         122,360,763.30 |              41,852.14 |           4,776,461.70 |                   0.00 |                   0.00 |           4,776,461.70
133      |         122,360,763.30 |              41,874.19 |           4,818,335.89 |                   0.00 |                   0.00 |           4,818,335.89
134      |         122,360,763.30 |              41,574.98 |           4,859,910.87 |                   0.00 |                   0.00 |           4,859,910.87
135      |         122,360,763.30 |              41,887.63 |           4,901,798.50 |                   0.00 |                   0.00 |           4,901,798.50
136      |         122,360,763.30 |              41,417.66 |           4,943,216.16 |                   0.00 |                   0.00 |           4,943,216.16
137      |         140,361,763.30 |              46,318.73 |           4,989,534.89 |                   0.00 |                   0.00 |           4,989,534.89
138      |         140,361,763.30 |              46,355.21 |           5,035,890.10 |                   0.00 |                   0.00 |           5,035,890.10
139      |         140,361,763.30 |              46,291.02 |           5,082,181.12 |                   0.00 |                   0.00 |           5,082,181.12
140      |         140,361,763.30 |              46,329.82 |           5,128,510.94 |                   0.00 |                   0.00 |           5,128,510.94
141      |         140,361,763.30 |              46,416.20 |           5,174,927.14 |                   0.00 |                   0.00 |           5,174,927.14
142      |         140,361,763.30 |              46,430.09 |           5,221,357.23 |                   0.00 |                   0.00 |           5,221,357.23
