Epoch    |                 Staked |                Rewards |            Accumulated |        Unstake Rewards |          Unstake Total |      Available Rewards
227      |         175,444,587.60 |              54,431.34 |           9,712,728.37 |                   0.00 |           1,306,252.18 |           8,406,476.19
228      |         175,444,587.60 |              53,935.11 |           9,766,663.48 |                   0.00 |           1,306,252.18 |           8,460,411.30
229      |         175,444,587.60 |              53,902.46 |           9,820,565.94 |                   0.00 |           1,306,252.18 |           8,514,313.77
230      |         175,444,587.60 |              53,861.89 |           9,874,427.83 |                   0.00 |           1,306,252.18 |           8,568,175.65
231      |         175,444,587.60 |              53,916.35 |           9,928,344.17 |                   0.00 |           1,306,252.18 |           8,622,092.00
232      |         175,444,587.60 |              53,919.41 |           9,982,263.59 |                   0.00 |           1,306,252.18 |           8,676,011.41
233      |         175,444,587.60 |              53,820.14 |          10,036,083.72 |                   0.00 |           1,306,252.18 |           8,729,831.55
234      |         175,444,587.60 |              53,873.33 |          10,089,957.06 |                   0.00 |           1,306,252.18 |           8,783,704.88
235      |         175,444,587.60 |              53,842.08 |          10,143,799.14 |                   0.00 |           1,306,252.18 |           8,837,546.97
236      |         175,444,587.60 |              53,864.78 |          10,197,663.92 |                   0.00 |           1,306,252.18 |           8,891,411.75
237      |         175,444,587.60 |              55,281.06 |          10,252,944.98 |                   0.00 |           1,306,252.18 |           8,946,692.81
  ▶ [Partial Unstake] ObjId: 0x2b51887b8cc8abf61dc58b171ecedf705aa8033d743ab16ac0bb4ac9b8347243 | TX: szXgGqUBmkBG8TUJMPX4cQLCyandyMYk8NdiUaoHqVF | Validator: IOTA 3 | Amount: 3,000,000.00 | Rewards: 91,973.87
238      |         169,444,587.60 |              54,607.11 |          10,307,552.10 |              91,973.87 |           1,398,226.04 |           8,909,326.05
239      |         172,444,587.60 |              54,780.96 |          10,362,333.06 |                   0.00 |           1,398,226.04 |           8,964,107.01
240      |         172,444,587.60 |              54,764.93 |          10,417,097.99 |                   0.00 |           1,398,226.04 |           9,018,871.94
241      |         172,444,587.60 |              54,820.24 |          10,471,918.23 |                   0.00 |           1,398,226.04 |           9,073,692.18
242      |         172,444,587.60 |              54,188.38 |          10,526,106.61 |                   0.00 |           1,398,226.04 |           9,127,880.57
243      |         172,444,587.60 |              54,367.09 |          10,580,473.70 |                   0.00 |           1,398,226.04 |           9,182,247.65
244      |         172,444,587.60 |              54,240.03 |          10,634,713.73 |                   0.00 |           1,398,226.04 |           9,236,487.69
245      |         172,444,587.60 |              54,180.17 |          10,688,893.90 |                   0.00 |           1,398,226.04 |           9,290,667.86
246      |         172,444,587.60 |              54,201.70 |          10,743,095.60 |                   0.00 |           1,398,226.04 |           9,344,869.56
247      |         172,444,587.60 |              54,212.48 |          10,797,308.08 |                   0.00 |           1,398,226.04 |           9,399,082.04
248      |         172,444,587.60 |              54,060.63 |          10,851,368.71 |                   0.00 |           1,398,226.04 |           9,453,142.67
  ▶ [Partial Unstake] ObjId: 0x2b51887b8cc8abf61dc58b171ecedf705aa8033d743ab16ac0bb4ac9b8347243 | TX: 3qFz6tWVY6ZQyKJBifkjGJ3bQUoW1txAsGtyGs2XoNwQ | Validator: IOTA 3 | Amount: 3,000,000.00 | Rewards: 102,081.05
249      |         166,444,587.60 |              53,525.23 |          10,904,893.94 |             102,081.05 |           1,500,307.09 |           9,404,586.85
250      |         169,444,587.60 |              53,232.99 |          10,958,126.93 |                   0.00 |           1,500,307.09 |           9,457,819.84
251      |         169,444,587.60 |              53,290.90 |          11,011,417.83 |                   0.00 |           1,500,307.09 |           9,511,110.74
252      |         169,444,587.60 |              53,177.61 |          11,064,595.44 |                   0.00 |           1,500,307.09 |           9,564,288.35
253      |         169,444,587.60 |              51,892.39 |          11,116,487.84 |                   0.00 |           1,500,307.09 |           9,616,180.74
254      |         169,444,587.60 |              51,861.79 |          11,168,349.63 |                   0.00 |           1,500,307.09 |           9,668,042.53
255      |         169,444,587.60 |              51,916.22 |          11,220,265.84 |                   0.00 |           1,500,307.09 |           9,719,958.75
256      |         169,444,587.60 |              52,619.41 |          11,272,885.25 |                   0.00 |           1,500,307.09 |           9,772,578.16
257      |         169,444,587.60 |              51,940.09 |          11,324,825.34 |                   0.00 |           1,500,307.09 |           9,824,518.25
258      |         169,444,587.60 |              51,997.17 |          11,376,822.52 |                   0.00 |           1,500,307.09 |           9,876,515.42
259      |         169,444,587.60 |              51,991.85 |          11,428,814.37 |                   0.00 |           1,500,307.09 |           9,928,507.28
260      |         169,444,587.60 |              51,914.54 |          11,480,728.91 |                   0.00 |           1,500,307.09 |           9,980,421.82
261      |         169,444,587.60 |              51,850.26 |          11,532,579.17 |                   0.00 |           1,500,307.09 |          10,032,272.08
262      |         169,444,587.60 |              51,773.45 |          11,584,352.62 |                   0.00 |           1,500,307.09 |          10,084,045.53
263      |         169,444,587.60 |              51,651.45 |          11,636,004.07 |                   0.00 |           1,500,307.09 |          10,135,696.98
264      |         169,444,587.60 |              51,963.34 |          11,687,967.41 |                   0.00 |           1,500,307.09 |          10,187,660.32
265      |         169,444,587.60 |              52,300.00 |          11,740,267.41 |                   0.00 |           1,500,307.09 |          10,239,960.32
266      |         169,444,587.60 |              51,830.39 |          11,792,097.80 |                   0.00 |           1,500,307.09 |          10,291,790.71
267      |         169,444,587.60 |              51,915.09 |          11,844,012.89 |                   0.00 |           1,500,307.09 |          10,343,705.79
268      |         169,444,587.60 |              51,665.49 |          11,895,678.38 |                   0.00 |           1,500,307.09 |          10,395,371.28
269      |         169,444,587.60 |              52,332.17 |          11,948,010.54 |                   0.00 |           1,500,307.09 |          10,447,703.45
270      |         169,444,587.60 |              52,359.98 |          12,000,370.52 |                   0.00 |           1,500,307.09 |          10,500,063.42
271      |         169,444,587.60 |              52,219.71 |          12,052,590.22 |                   0.00 |           1,500,307.09 |          10,552,283.13
272      |         169,444,587.60 |              52,005.95 |          12,104,596.17 |                   0.00 |           1,500,307.09 |          10,604,289.08
273      |         169,444,587.60 |              52,447.23 |          12,157,043.40 |                   0.00 |           1,500,307.09 |          10,656,736.31
274      |         169,444,587.60 |              52,101.19 |          12,209,144.59 |                   0.00 |           1,500,307.09 |          10,708,837.50
275      |         169,444,587.60 |              52,070.78 |          12,261,215.37 |                   0.00 |           1,500,307.09 |          10,760,908.28
276      |         169,444,587.60 |              52,205.57 |          12,313,420.94 |                   0.00 |           1,500,307.09 |          10,813,113.85
277      |         169,444,587.60 |              51,789.89 |          12,365,210.83 |                   0.00 |           1,500,307.09 |          10,864,903.74
278      |         169,444,587.60 |              51,750.23 |          12,416,961.06 |                   0.00 |           1,500,307.09 |          10,916,653.96
279      |         169,444,587.60 |              51,734.23 |          12,468,695.28 |                   0.00 |           1,500,307.09 |          10,968,388.19
  ▶ [Unstaked] ObjId: 0x2b51887b8cc8abf61dc58b171ecedf705aa8033d743ab16ac0bb4ac9b8347243 | TX: BBKMMC9VEsQgqQZuiKY2rcroX3t7KLhqk1oDBsycXGNb | Validator: IOTA 3 | Amount: 3,001,000.00 | Rewards: 129,879.96
280      |         166,443,587.60 |              49,555.17 |          12,518,250.45 |             129,879.96 |           1,630,187.05 |          10,888,063.40
281      |         166,443,587.60 |              50,746.29 |          12,568,996.74 |                   0.00 |           1,630,187.05 |          10,938,809.69
282      |         166,443,587.60 |              50,704.97 |          12,619,701.71 |                   0.00 |           1,630,187.05 |          10,989,514.66
283      |         166,443,587.60 |              51,283.22 |          12,670,984.93 |                   0.00 |           1,630,187.05 |          11,040,797.88
284      |         166,443,587.60 |              50,685.26 |          12,721,670.19 |                   0.00 |           1,630,187.05 |          11,091,483.14
285      |         166,443,587.60 |              50,652.83 |          12,772,323.02 |                   0.00 |           1,630,187.05 |          11,142,135.97
286      |         166,443,587.60 |              50,638.38 |          12,822,961.40 |                   0.00 |           1,630,187.05 |          11,192,774.35
287      |         166,443,587.60 |              50,593.79 |          12,873,555.19 |                   0.00 |           1,630,187.05 |          11,243,368.14
288      |         166,443,587.60 |              50,678.51 |          12,924,233.70 |                   0.00 |           1,630,187.05 |          11,294,046.65
289      |         166,443,587.60 |              50,823.17 |          12,975,056.88 |                   0.00 |           1,630,187.05 |          11,344,869.83
290      |         166,443,587.60 |              50,706.76 |          13,025,763.64 |                   0.00 |           1,630,187.05 |          11,395,576.59
291      |         166,443,587.60 |              50,554.73 |          13,076,318.37 |                   0.00 |           1,630,187.05 |          11,446,131.32
292      |         166,443,587.60 |              50,517.39 |          13,126,835.76 |                   0.00 |           1,630,187.05 |          11,496,648.71
293      |         166,443,587.60 |              50,476.54 |          13,177,312.30 |                   0.00 |           1,630,187.05 |          11,547,125.25
294      |         166,443,587.60 |              50,428.18 |          13,227,740.48 |                   0.00 |           1,630,187.05 |          11,597,553.43
295      |         166,443,587.60 |              51,469.56 |          13,279,210.03 |                   0.00 |           1,630,187.05 |          11,649,022.98
296      |         166,443,587.60 |              50,900.70 |          13,330,110.73 |                   0.00 |           1,630,187.05 |          11,699,923.68
297      |         166,443,587.60 |              50,719.06 |          13,380,829.79 |                   0.00 |           1,630,187.05 |          11,750,642.74
298      |         166,443,587.60 |              50,855.82 |          13,431,685.62 |                   0.00 |           1,630,187.05 |          11,801,498.57
299      |         166,443,587.60 |              50,709.58 |          13,482,395.20 |                   0.00 |           1,630,187.05 |          11,852,208.15
300      |         166,443,587.60 |              50,690.91 |          13,533,086.11 |                   0.00 |           1,630,187.05 |          11,902,899.06
301      |         166,443,587.60 |              50,810.18 |          13,583,896.28 |                   0.00 |           1,630,187.05 |          11,953,709.23
302      |         166,443,587.60 |              52,168.02 |          13,636,064.30 |                   0.00 |           1,630,187.05 |          12,005,877.25
303      |         166,443,587.60 |              50,981.72 |          13,687,046.02 |                   0.00 |           1,630,187.05 |          12,056,858.97
304      |         166,443,587.60 |              50,885.07 |          13,737,931.10 |                   0.00 |           1,630,187.05 |          12,107,744.05
305      |         166,443,587.60 |              51,734.67 |          13,789,665.76 |                   0.00 |           1,630,187.05 |          12,159,478.71
306      |         166,443,587.60 |              51,175.48 |          13,840,841.25 |                   0.00 |           1,630,187.05 |          12,210,654.20
307      |         166,443,587.60 |              51,084.53 |          13,891,925.78 |                   0.00 |           1,630,187.05 |          12,261,738.73
  ▶ [Unstaked] ObjId: 0x4eb5b25d55e207fe37c2a77d5e98d3a427ffd581d26af3d31c1dc9595b5605fc | TX: EpoHAwUHPWzWFNscrRJkp1ydyh692Za4gBAvTAMvw9ED | Validator: IOTA 2 | Amount: 2,816,564.86 | Rewards: 107,304.20
  ▶ [Unstaked] ObjId: 0xdfaa2839914cad8d68873ee5331ccec102352cba94f8eedfd9a1e0412446817e | TX: EpoHAwUHPWzWFNscrRJkp1ydyh692Za4gBAvTAMvw9ED | Validator: IOTA 2 | Amount: 2,816,564.86 | Rewards: 107,304.20
308      |         163,627,022.74 |              50,564.61 |          13,942,490.38 |             214,608.39 |           1,844,795.44 |          12,097,694.94
309      |         163,627,022.74 |              50,408.09 |          13,992,898.47 |                   0.00 |           1,844,795.44 |          12,148,103.03
310      |         163,627,022.74 |              50,343.49 |          14,043,241.96 |                   0.00 |           1,844,795.44 |          12,198,446.52
311      |         163,627,022.74 |              49,832.06 |          14,093,074.02 |                   0.00 |           1,844,795.44 |          12,248,278.58
312      |         163,627,022.74 |              50,557.33 |          14,143,631.35 |                   0.00 |           1,844,795.44 |          12,298,835.91
313      |         163,627,022.74 |              50,570.83 |          14,194,202.18 |                   0.00 |           1,844,795.44 |          12,349,406.74
314      |         163,627,022.74 |              50,610.29 |          14,244,812.47 |                   0.00 |           1,844,795.44 |          12,400,017.03
315      |         163,627,022.74 |              50,660.72 |          14,295,473.19 |                   0.00 |           1,844,795.44 |          12,450,677.75
316      |         163,627,022.74 |              51,021.70 |          14,346,494.88 |                   0.00 |           1,844,795.44 |          12,501,699.44
317      |         163,627,022.74 |              50,743.68 |          14,397,238.56 |                   0.00 |           1,844,795.44 |          12,552,443.12
318      |         163,627,022.74 |              50,719.25 |          14,447,957.81 |                   0.00 |           1,844,795.44 |          12,603,162.37
319      |         163,627,022.74 |              50,653.53 |          14,498,611.34 |                   0.00 |           1,844,795.44 |          12,653,815.90
320      |         163,627,022.74 |              50,662.89 |          14,549,274.23 |                   0.00 |           1,844,795.44 |          12,704,478.79
321      |         163,627,022.74 |              50,624.97 |          14,599,899.20 |                   0.00 |           1,844,795.44 |          12,755,103.76
322      |         163,627,022.74 |              50,807.22 |          14,650,706.42 |                   0.00 |           1,844,795.44 |          12,805,910.98
323      |         163,627,022.74 |              50,666.57 |          14,701,372.99 |                   0.00 |           1,844,795.44 |          12,856,577.55
324      |         163,627,022.74 |              50,714.51 |          14,752,087.50 |                   0.00 |           1,844,795.44 |          12,907,292.05
325      |         163,627,022.74 |              47,638.59 |          14,799,726.09 |                   0.00 |           1,844,795.44 |          12,954,930.65
326      |         163,627,022.74 |              47,691.00 |          14,847,417.09 |                   0.00 |           1,844,795.44 |          13,002,621.65
327      |         163,627,022.74 |              50,770.20 |          14,898,187.29 |                   0.00 |           1,844,795.44 |          13,053,391.85
328      |         163,627,022.74 |              50,804.97 |          14,948,992.26 |                   0.00 |           1,844,795.44 |          13,104,196.81
329      |         163,627,022.74 |              50,784.86 |          14,999,777.12 |                   0.00 |           1,844,795.44 |          13,154,981.68
330      |         163,627,022.74 |              50,719.53 |          15,050,496.65 |                   0.00 |           1,844,795.44 |          13,205,701.21
  ▶ [Unlocked] ObjId: 0x89f2c00db48d4765f12c8d67483e394ed1ddd06a9f2b3a12e2498e6b31f7bb1f | TX: 4tyqCHP2DcF4pEvhaB4orEmf3HDyWmKsyTKyyS9HC2oi | Validator: Sensei_Node | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x5550812a50894c46b0335c652d387f30b9b1184cb10973af03867dc8a362c23f | TX: HXC2dBJ313xWvjfdMWM1tqB6xz7G6KV7Xg3J5xwaPaSz | Validator: Spectrum Staking | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xe19c5b121e7dfae143405fe98fee898e3a914f8fc22aff9c37f00004a164e695 | TX: HXC2dBJ313xWvjfdMWM1tqB6xz7G6KV7Xg3J5xwaPaSz | Validator: Spectrum Staking | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x6da68dc755dd4cc165ed965ed33d9e63d1dea391ebc4fd74d516a3bc2ec31104 | TX: C2xqoXKpCrS9WF5i6XPcsBCjqQUEwYBtw4octANqUYZK | Validator: LinkPool | Amount: 1,816,564.86
  ▶ [Unlocked] ObjId: 0xd41d645be7bf0ca33d13749b5647cbbcd3744cfbe706921f4927e07008a0734f | TX: C2xqoXKpCrS9WF5i6XPcsBCjqQUEwYBtw4octANqUYZK | Validator: LinkPool | Amount: 1,816,564.86
  ▶ [Unlocked] ObjId: 0x201fd7652740d99603bbcbd0aa0360b7b3f16f57f1030050a40ecd808d8fde6d | TX: EvtoH8HWhCnFNUqtXingAvxEAzyvU27LLpjB561Wbn7u | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x634cfee88b3098758a1a136cbce4bd2347d88440580ec8e380266d2bcef893e7 | TX: EvtoH8HWhCnFNUqtXingAvxEAzyvU27LLpjB561Wbn7u | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x41dae3e01a683d905471351cc02a544ae80491243f7daef18f3a9e19c93d7efe | TX: DMujepKb3FC6GiTdWdcdD1Kzf9Eb2N8bWTjx1hPSh7Sg | Validator: CroutonDigital | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xf1baddc5f3aae0dce4b884818ffe851856e0ebb9ec87fc47db46e56547b0edf3 | TX: DMujepKb3FC6GiTdWdcdD1Kzf9Eb2N8bWTjx1hPSh7Sg | Validator: CroutonDigital | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x0e86a1d0333bd79699d5cc429e796ca9a402879a789af7b6b45bd0a3c37e691c | TX: 2Gika65U5MCDUz22rtwg2cpiA3Wit7XHiEP6TYLeTjS3 | Validator: Stardust Staking | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x76d4aaf52732d34e9625d1106ae6a0186bb8996be5be27e2ab2e1fc065a2ae03 | TX: 2Gika65U5MCDUz22rtwg2cpiA3Wit7XHiEP6TYLeTjS3 | Validator: Stardust Staking | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x818209f38d6c01b4d649b09b91cb60e6fcc96d93742496d3eabfdbade8433c8f | TX: CGxuA4UCsRwzRCLA7J47a7bPE62LtWy3jJPL1Bgqk5gf | Validator: SDVC | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xd67616dd1fe08be8b2438d0980e2cb20501f66e3e5436bc332c6124c90247c9f | TX: CGxuA4UCsRwzRCLA7J47a7bPE62LtWy3jJPL1Bgqk5gf | Validator: SDVC | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x82ad27531e6b417703e9ea29a18aa680e7fa042dae2c0680bbbd9fb29f0cdca9 | TX: 77bvC3FrMZ1FJo77rrXADwsEiWsFrCr2FLYj4Ubk6usg | Validator: Encapsulate | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x8ed47cc2ab71d433908e0bbf6d85558f19a483cfbeec03703571524ed50d5fd8 | TX: 77bvC3FrMZ1FJo77rrXADwsEiWsFrCr2FLYj4Ubk6usg | Validator: Encapsulate | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xa6d42dcb4e3ba4f17054e287172c9828ec6f85ce88a8d7b8e2d72230b7fb53db | TX: J6UnBJ1y1GsxADmvmNc49cBWFcUUrQULwhe4ow6FYpNL | Validator: TokenLabs.Network | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xaa5ba2ab7a7cf4c3483ac541a0724b816d646681900fef9fe1e020db1f48e51e | TX: J6UnBJ1y1GsxADmvmNc49cBWFcUUrQULwhe4ow6FYpNL | Validator: TokenLabs.Network | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x1beab684091285a95e327229acf603870d3896eebb342e41ac824a479374aa4d | TX: 97GdqckSCJ2NgxuJrWTGdiqEFyF4bmrqtrTVfSVKNvck | Validator: Allnodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x4a1dc146b97a6a5316704a36cca853ccd40e0ebce55f89741b2f8aef28ff3aff | TX: 97GdqckSCJ2NgxuJrWTGdiqEFyF4bmrqtrTVfSVKNvck | Validator: Allnodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x66bc0b5b626aa44a3faed314a13bd7210e8ea7080e169afa1482f5edccb39588 | TX: BPLDZEoowxiT6Lc6oaQezup4j4oXnFA8rxCYktMnQmvj | Validator: Allnodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xbfa62e08a8f526b1222881c34b8671aa83adf3305923f342ebc6fe1980a4acb4 | TX: BPLDZEoowxiT6Lc6oaQezup4j4oXnFA8rxCYktMnQmvj | Validator: Allnodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x036458d858fc14bcdbe758c11c52a72317d3b56b6bbd576756a7fc4634f9049e | TX: Efx76edcbAr2WV8YU7boKdFjWSmDg42KWPyufxV1z3eY | Validator: BlockHunters | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xe964a08c10218e4518b82116fc4391ba5f083a5371c4912f01eb30743389ba2f | TX: Efx76edcbAr2WV8YU7boKdFjWSmDg42KWPyufxV1z3eY | Validator: BlockHunters | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x9c175283e06b25067b7efe6e8eff6c9f7e41151deae0dcfb87e6e1f16766c56d | TX: ARmhULdHRbDCjgffeuws2urpSf3HopWf2FYCBDeQzr2M | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xaa073de6563f92a902d645f6ad552e471490b2bebb6d2b27b363efca3502daaf | TX: ARmhULdHRbDCjgffeuws2urpSf3HopWf2FYCBDeQzr2M | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x6adda88470a9908e65c223e77659b4eb40c1bb323d871e070ddca9a37e5a2fa6 | TX: 4tyqCHP2DcF4pEvhaB4orEmf3HDyWmKsyTKyyS9HC2oi | Validator: Sensei_Node | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x1c6ee87829640c878a4fd03cd7f4ce76971741d9abce43f538cea81cbbcf3040 | TX: 3S6DrowEU7YViXKtrs4S2rQnUb8ENk4sdD4UjmVrm9iw | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x9d714c98ea7035cb28aa1c091eba4e667477212ad1c197d4f613e98f7421757b | TX: 3S6DrowEU7YViXKtrs4S2rQnUb8ENk4sdD4UjmVrm9iw | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xae25363cd877e5972d4a7e8f303b6cc61afa003ca5ba5a81c8daa28ab145ad8f | TX: HqWZU6rc7H7ofV4HBLgxKVFZMXM1rMzBeshYzWgiXkWM | Validator: InfraSingularity | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xd3bd6a6994a452564aa9530b006fb9cdb4f93f7c8112fc7ff72eecc4fcd77bdd | TX: HqWZU6rc7H7ofV4HBLgxKVFZMXM1rMzBeshYzWgiXkWM | Validator: InfraSingularity | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x1a545b9ddf57df370ebcf6dd1fa571b32b1332604c0276d1ab4b890ead5224d7 | TX: 2ce1kafAV9TrcZDzcnG5hnNjD9KAK5fqFb4NPyAh34Nq | Validator: CroutonDigital | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xa68e7634824e46af4f0049a7137329173db3a2365b3162db3a4ef66bdeb132d7 | TX: 2ce1kafAV9TrcZDzcnG5hnNjD9KAK5fqFb4NPyAh34Nq | Validator: CroutonDigital | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x04755dd24c94427ab742d634a739e629529cc0c774605fc750a00186c9770e6d | TX: 2SWoWGe6uGDHBpKz572nq97Ps87wmjKB3grCsp3PQPbh | Validator: IOTA 1 | Amount: 1.50
  ▶ [Unlocked] ObjId: 0x0d0bd6e6b512796beb9ea151097c8e9b4cbb17c67d08b2a8e00b8f26e156a140 | TX: 2SWoWGe6uGDHBpKz572nq97Ps87wmjKB3grCsp3PQPbh | Validator: IOTA 1 | Amount: 1.50
  ▶ [Unlocked] ObjId: 0x0c5ebce73faf1d6e482012b48c94de8e4af2884cb3d35bdcff2a6f7f15e217ad | TX: Hd9GNwSJz8VR1zRjNaaSMuTtighJeT3npVKaiQNPMftW | Validator: Pier Two | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x483a8cb30f3cdf2a50c54e9dbaaa796d502f8a00d99ce0fee2c46d1ba88d8bf5 | TX: Hd9GNwSJz8VR1zRjNaaSMuTtighJeT3npVKaiQNPMftW | Validator: Pier Two | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x86c3671f080f839bd76d56eeb5a56f463336c94fb66116e332fd9d6081767bb1 | TX: FWVBQK2tUgfjtMY5oAN6e6YeVKRMyBd6PVLGzMfidyMo | Validator: Encapsulate | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xbe2dc7bcd2e2538f45a0717e4f6eccb590f68a16626780722eebd9591776da67 | TX: FWVBQK2tUgfjtMY5oAN6e6YeVKRMyBd6PVLGzMfidyMo | Validator: Encapsulate | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0x3bca2d5801c05d4fe576d6289b82e97ebb17e1dfd9316365b664aeb2a384c23f | TX: 6Qm9MTnE9t3BxukJp38dBR461KjRFCKrZq1GJ2yYXozx | Validator: HashKeyCloud | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xaa8ea407fc9703220f7e7089ca88b284bee9bd4baa59debc26ec30629627fc3b | TX: 6Qm9MTnE9t3BxukJp38dBR461KjRFCKrZq1GJ2yYXozx | Validator: HashKeyCloud | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xa1cb11e4ef55942a6a27b88be691baed339d652c05b614f997846db4d671b785 | TX: DQBELz9dA8TzPYw3mwLvwYgNrWfP3NGXnEX7WoUSAaX1 | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
  ▶ [Unlocked] ObjId: 0xe7c82927cd65f505b9e1c04cc5ac6baecff8047c1b5b122e980b346a1496246c | TX: DQBELz9dA8TzPYw3mwLvwYgNrWfP3NGXnEX7WoUSAaX1 | Validator: Lavender.Five Nodes | Amount: 2,816,564.86
331      |         218,958,321.41 |              50,954.73 |          15,101,451.38 |                   0.00 |           1,844,795.44 |          13,256,655.94
332      |         163,627,022.74 |              50,755.56 |          15,152,206.95 |                   0.00 |           1,844,795.44 |          13,307,411.51
333      |         163,627,022.74 |              50,718.48 |          15,202,925.43 |                   0.00 |           1,844,795.44 |          13,358,129.99
334      |         163,627,022.74 |              50,657.78 |          15,253,583.21 |                   0.00 |           1,844,795.44 |          13,408,787.77
335      |         163,627,022.74 |              50,666.61 |          15,304,249.81 |                   0.00 |           1,844,795.44 |          13,459,454.37
336      |         163,627,022.74 |              50,623.43 |          15,354,873.25 |                   0.00 |           1,844,795.44 |          13,510,077.81
337      |         163,627,022.74 |              50,607.52 |          15,405,480.77 |                   0.00 |           1,844,795.44 |          13,560,685.32
